Symbol,Date,Open,High,Low,Close,Percent Change,Volume
NIMB,24/09/2024,222,227.9,216,216,-3.57%,"1,60,907.00"
NIMB,23/09/2024,233,233,223.8,224,-2.18%,"1,52,930.00"
NIMB,22/09/2024,234,240.9,226.4,229,-0.22%,"1,16,177.00"
NIMB,18/09/2024,226,231.5,221.5,229.5,1.55%,"1,35,497.00"
NIMB,16/09/2024,231,231,225,226,-2.16%,"2,40,945.00"
NIMB,15/09/2024,236.5,244.5,230,231,-1.07%,"2,54,419.00"
NIMB,12/09/2024,229.5,233.5,225,233.5,3.78%,"1,83,147.00"
NIMB,11/09/2024,228.1,232.4,223.5,225,-0.75%,"1,90,415.00"
NIMB,10/09/2024,226.8,235.8,224.5,226.7,0.09%,"2,44,663.00"
NIMB,09/09/2024,235,237,225.2,226.5,-4.03%,"3,32,867.00"
NIMB,08/09/2024,246,246,235.2,236,-2.40%,"1,93,734.00"
NIMB,05/09/2024,243.9,246,235.2,241.8,-0.86%,"2,66,980.00"
NIMB,04/09/2024,259,259,242,243.9,-3.98%,"2,99,974.00"
NIMB,03/09/2024,258,262.1,251.6,254,0.20%,"2,84,479.00"
NIMB,02/09/2024,237.2,253.5,234,253.5,6.96%,"4,16,418.00"
NIMB,01/09/2024,243.1,249,236,237,-3.93%,"2,64,342.00"
NIMB,29/08/2024,254,257.9,245.1,246.7,-2.49%,"3,27,117.00"
NIMB,28/08/2024,257,263.9,250,253,0.40%,"4,05,273.00"
NIMB,27/08/2024,271.4,271.4,250,252,-5.30%,"7,03,842.00"
NIMB,25/08/2024,283.5,283.5,265,266.1,-4.28%,"5,59,948.00"
NIMB,22/08/2024,281,284.6,276,278,-1.07%,"4,58,274.00"
NIMB,21/08/2024,286.5,289.9,270.2,281,0.00%,"7,59,352.00"
NIMB,18/08/2024,278.4,295,274,281,2.93%,"13,90,334.00"
NIMB,15/08/2024,253.9,273.9,250,273,9.64%,"16,93,799.00"
NIMB,14/08/2024,249.7,252,239,249,1.67%,"5,91,867.00"
NIMB,13/08/2024,246,250,241.1,244.9,1.20%,"4,98,215.00"
NIMB,12/08/2024,239.7,249,237.5,242,2.98%,"5,62,406.00"
NIMB,11/08/2024,230,235.3,225.5,235,4.21%,"5,28,022.00"
NIMB,08/08/2024,229,234,224,225.5,-0.44%,"3,54,340.00"
NIMB,07/08/2024,213.2,228.2,213.2,226.5,4.14%,"4,93,761.00"
NIMB,06/08/2024,240,240,217,217.5,-9.00%,"7,87,692.00"
NIMB,05/08/2024,249,253,238,239,-4.02%,"7,93,986.00"
NIMB,01/08/2024,255,259,248.1,249,-2.73%,"4,74,916.00"
NIMB,31/07/2024,259,260,250,256,0.79%,"5,16,714.00"
NIMB,30/07/2024,260,260,240,254,-0.78%,"7,45,059.00"
NIMB,29/07/2024,245.7,264.9,245.7,256,6.27%,"15,15,457.00"
NIMB,28/07/2024,223.3,240.9,223.3,240.9,10.00%,"5,91,461.00"
NIMB,25/07/2024,219,221.2,215,219,0.60%,"3,66,613.00"
NIMB,24/07/2024,225,227.5,215.7,217.7,-3.37%,"5,59,174.00"
NIMB,23/07/2024,224.1,225.4,214.2,225.3,2.50%,"6,08,926.00"
NIMB,22/07/2024,222.3,223.5,212,219.8,0.83%,"9,33,307.00"
NIMB,21/07/2024,203,219,200,218,9.49%,"11,09,969.00"
NIMB,18/07/2024,184.5,199.1,181.3,199.1,10.00%,"7,56,798.00"
NIMB,17/07/2024,181.5,181.9,179,181,1.69%,"4,01,009.00"
NIMB,16/07/2024,175,179.5,172.2,178,1.66%,"1,75,173.00"
NIMB,15/07/2024,180,182.5,174.6,175.1,-2.18%,"1,96,836.00"
NIMB,14/07/2024,174.9,180,173,179,4.37%,"1,98,632.00"
NIMB,11/07/2024,161.8,172,161.8,171.5,3.94%,"1,94,804.00"
NIMB,10/07/2024,162,165,158,165,3.77%,"1,21,925.00"
NIMB,09/07/2024,158,161,158,159,-0.31%,"51,166.00"
NIMB,08/07/2024,160,162.9,159,159.5,-1.42%,"62,638.00"
NIMB,07/07/2024,159,162.2,157.5,161.8,1.25%,"1,04,335.00"
NIMB,04/07/2024,158,162.5,158,159.8,0.25%,"74,172.00"
NIMB,03/07/2024,162,163,156.1,159.4,-0.38%,"45,375.00"
